channel_1_relative_l2,channel_2_relative_l2,channel_dim,device,feature_family,forecast_window_relative_l2,max_abs_error,mode,model,model_label,mse,noise_level,parameter_count,relative_l2,runtime_sec,seed,test_points,train_points,train_setting
nan,nan,1,,baseline,nan,1.8983945267318139,interpolation,linear_baseline,Linear baseline,0.6459122597471847,0.0,0,1.0913895832944418,2.8342008590698242e-05,0,400,10,10.0
nan,nan,1,,baseline,nan,1.3953122292084783,interpolation,ar1_baseline,AR(1) baseline,0.5414471254574141,0.0,0,0.9992428898030782,0.0004568318836390972,0,400,10,10.0
nan,nan,1,cuda,time_only,nan,1.3986442124433531,interpolation,mlp_t,MLP baseline [t],0.5721085705456848,0.0,1153,1.027146208546705,0.6199111379683018,0,400,10,10.0
nan,nan,1,cuda,memory_only,nan,1.6309646818833108,interpolation,mlp_memory,MLP + memory-only,0.6917331337515493,0.0,1249,1.1294378292476421,0.4272901068907231,0,400,10,10.0
nan,nan,1,cuda,domain_only,nan,0.33584526314608565,interpolation,mlp_domain,MLP + domain sin/cos,0.018315008393497093,0.0,1217,0.18377930359887956,0.4108250511344522,0,400,10,10.0
nan,nan,1,cuda,memory_plus_domain,nan,0.25991410329271447,interpolation,mlp_memory_domain,MLP + memory + domain,0.00862020547219484,0.0,1313,0.1260816400485991,0.40879187593236566,0,400,10,10.0
nan,nan,1,,baseline,nan,1.7549824790657391,interpolation,linear_baseline,Linear baseline,0.3453276171526477,0.0,0,0.7980106667155114,2.7181115001440048e-05,0,400,30,30.0
nan,nan,1,,baseline,nan,1.232886416517214,interpolation,ar1_baseline,AR(1) baseline,0.4933686708491456,0.0,0,0.9538472337615292,0.0003385061863809824,0,400,30,30.0
nan,nan,1,cuda,time_only,nan,1.3945053675585743,interpolation,mlp_t,MLP baseline [t],0.48804560156685156,0.0,1153,0.9486876392308807,0.6666303090751171,0,400,30,30.0
nan,nan,1,cuda,memory_only,nan,1.0868887802761789,interpolation,mlp_memory,MLP + memory-only,0.4635212595068154,0.0,1249,0.924544606631533,0.824599453015253,0,400,30,30.0
