channel_1_relative_l2,channel_2_relative_l2,channel_dim,device,feature_family,forecast_window_relative_l2,max_abs_error,mode,model,model_label,mse,noise_level,parameter_count,relative_l2,runtime_sec,seed,test_points,train_points,train_setting
1.0913895832944418,1.0769293901394235,2,,baseline,nan,1.8983945267318139,interpolation,linear_baseline,Linear baseline,0.5454650580740347,0.0,0,1.0854208929678375,4.535284824669361e-05,0,400,10,10.0
0.9992428898030782,1.012674217834906,2,,baseline,nan,1.3953122292084783,interpolation,ar1_baseline,AR(1) baseline,0.46747254274352285,0.0,0,1.0048303937471117,0.00039487797766923904,0,400,10,10.0
1.0603238557907517,1.0501546480140265,2,cuda,time_only,nan,1.4718867943009541,interpolation,mlp_t,MLP baseline [t],0.5164146853110482,0.0,1186,1.0561217852654183,0.4012586029712111,0,400,10,10.0
1.1211224234199955,1.0606130372675555,2,cuda,memory_only,nan,1.6760822389321084,interpolation,mlp_memory,MLP + memory-only,0.5566101019703846,0.0,1282,1.0964535835900018,0.3862274410203099,0,400,10,10.0
0.12823045600370422,0.8286780954358478,2,cuda,domain_only,nan,1.3149555416987933,interpolation,mlp_domain,MLP + domain sin/cos,0.13620647268281544,0.0,1250,0.5423923835151142,0.38766035716980696,0,400,10,10.0
0.15627153390673265,0.8519350956149768,2,cuda,memory_plus_domain,nan,1.5670899953286144,interpolation,mlp_memory_domain,MLP + memory + domain,0.14586835583624846,0.0,1346,0.5613002726299353,0.3840209280606359,0,400,10,10.0
0.7980106667155114,0.6732005698510698,2,,baseline,nan,1.7549824790657391,interpolation,linear_baseline,Linear baseline,0.2596122763184302,0.0,0,0.7488198043235218,4.45761252194643e-05,0,400,30,30.0
0.9538472337615292,0.9423317323004429,2,,baseline,nan,1.3835933559948452,interpolation,ar1_baseline,AR(1) baseline,0.417049428538579,0.0,0,0.9490923535513641,0.00040642707608640194,0,400,30,30.0
0.9502140181739365,0.9080671634293388,2,cuda,time_only,nan,1.3883421876841542,interpolation,mlp_t,MLP baseline [t],0.4030095585976506,0.0,1186,0.932980104589751,0.4071828490123153,0,400,30,30.0
0.9318388346691804,0.9187017599624624,2,cuda,memory_only,nan,1.3140477070744236,interpolation,mlp_memory,MLP + memory-only,0.3973600710731792,0.0,1282,0.9264176521372618,0.385712742106989,0,400,30,30.0
0.05801956593703374,0.24842048780384365,2,cuda,domain_only,nan,0.5163353279193871,interpolation,mlp_domain,MLP + domain sin/cos,0.012752603847429126,0.0,1250,0.16596409560051326,0.38968361099250615,0,400,30,30.0
0.07280935994302429,0.19331490357599368,2,cuda,memory_plus_domain,nan,0.3481400293191472,interpolation,mlp_memory_domain,MLP + memory + domain,0.008607080291374115,0.0,1346,0.136346073747179,0.3941189788747579,0,400,30,30.0
